"";"Grupo Econômico";"Valor Contratado";"Valor Desembolsado";"Valor Contratado Deflacionado"
"1";"Grupo Delta";87,32;86,78;211,28
"2";"Grupo Queiroz Galvão";68,39;68,3;130,94
"3";"Grupo Carioca Christiani-Nielsen Engenharia";36,09;36,09;81,87
"4";"Globo Construções e Terraplanagem Ltda.";9,3;9,3;20,48
"5";"Grupo MBR";0,44;0,44;0,96
"6";"Sanerio Engenharia Ltda.";0,1;0,1;0,27
"7";"Total";201,64;201,01;445,8
