"estado";"cidade";"bairro";"cep";"logradouro";"latitude";"longitude";"altitude";"ddd";"cod_IBGE"
"RJ";"Rio de Janeiro";"Paciência";"23585430";"Estrada Santa Eugênia";-22,9202638;-43,6320026;17,9;21;"3304557"
"RJ";"Rio de Janeiro";"Paciência";"23585808";"Avenida do Contorno";-22,9239619;-43,6380301;14,8;21;"3304557"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Niterói";"Centro";"24020206";"Rua Visconde de Sepetiba";-22,8895663;-43,1191126;12,3;21;"3303302"
"RJ";"Niterói";"Centro";"24030082";"Rua Visconde do Uruguai";-22,8851426;-43,1232272;13,5;21;"3303302"
"RJ";"Niterói";"Centro";"24030092";"Rua Visconde de Itaboraí";-22,8843738;-43,1224032;12,3;21;"3303302"
"RJ";"Niterói";"Centro";"24030110";"Rua Barão do Amazonas";-22,8896745;-43,1203645;11;21;"3303302"
"RJ";"Niterói";"Centro";"24030111";"Rua Barão do Amazonas";-22,8896745;-43,1203645;11;21;"3303302"
"RJ";"Niterói";"Centro";"24030230";"Rua Professor Heitor Carrilho";-22,8864957;-43,1180525;10,4;21;"3303302"
"RJ";"Niterói";"Fátima";"24070035";"Rua Princesa Isabel";-22,8940693;-43,1117553;47,9;21;"3303302"
"RJ";"Niterói";"Barreto";"24110650";"Rua Doutor March";-22,8684818;-43,1077768;36,2;21;"3303302"
"RJ";"Niterói";"Fonseca";"24120191";"Alameda São Boaventura";-22,8810491;-43,0990106;18,9;21;"3303302"
"RJ";"Niterói";"Fonseca";"24120350";"Rua Desembargador Lima Castro";-22,8858587;-43,0863156;37,9;21;"3303302"
"RJ";"Niterói";"Fonseca";"24130070";"Rua Rúbens Brasil";-22,8802621;-43,1004266;17,4;21;"3303302"
"RJ";"Niterói";"Fonseca";"24130307";"Travessa Proto Guerra";-22,8744965;-43,0808043;62,8;21;"3303302"
"RJ";"Niterói";"Santa Bárbara";"24141560";"Rua Pastor Luter King";-22,8730704;-43,0476755;77,7;21;"3303302"
"RJ";"Niterói";"São Domingos";"24210130";"Rua Professor Hernani Melo";-22,8985302;-43,127087;16,1;21;"3303302"
"RJ";"Niterói";"Ingá";"24210431";"Rua Pereira Nunes";-22,903747;-43,1232069;22,8;21;"3303302"
"RJ";"Niterói";"Ingá";"24210470";"Rua Presidente Pedreira";-22,9035225;-43,1249198;19;21;"3303302"
"RJ";"Niterói";"Ingá";"24210510";"Rua Tiradentes";-22,9013554;-43,1246407;28;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220020";"Rua Álvares de Azevedo";-22,9018402;-43,1121139;20,3;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220030";"Rua General Pereira da Silva";-22,9022941;-43,1107371;19,6;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220045";"Rua Presidente Backer";-22,9023695;-43,108985;14,8;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220090";"Rua Domingues de Sá";-22,9030993;-43,1044018;16,1;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220110";"Rua Cinco de Julho";-22,9037951;-43,1036644;13,8;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220111";"Rua Cinco de Julho";-22,9037951;-43,1036644;13,8;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220120";"Rua Mariz e Barros";-22,9062225;-43,1046138;16,8;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220150";"Travessa Francisco Dutra";-22,907257;-43,1009706;12;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220261";"Rua Mem de Sá";-22,9018773;-43,1102899;20;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220320";"Rua Nóbrega";-22,9033918;-43,1033983;12,5;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220330";"Rua Presidente João Pessoa";-22,902791;-43,1025859;15,5;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220370";"Rua Doutor Leandro Mota";-22,9035778;-43,1017811;14,3;21;"3303302"
"RJ";"Niterói";"Icaraí";"24220390";"Travessa Dom Bosco";-22,9058201;-43,0990104;11,2;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230000";"Avenida Jornalista Alberto Francisco Torres";-22,9043971;-43,1093638;17,7;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230131";"Rua Lemos Cunha";-22,9076445;-43,1040833;18,1;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230152";"Avenida Roberto Silveira";-22,9040666;-43,1058629;14,6;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230153";"Avenida Roberto Silveira";-22,9043971;-43,1093638;17,7;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230210";"Rua Osvaldo Cruz";-22,9092119;-43,109539;25,8;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230220";"Rua Comendador Queiroz";-22,9108779;-43,1081757;23,1;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230240";"Rua Professor Miguel Couto";-22,9016428;-43,1043831;16;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230250";"Avenida Sete de Setembro";-22,9043971;-43,1093638;17,7;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230310";"Rua Doutor Carlos Halfeld";-22,9081836;-43,1035212;11,4;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230322";"Avenida Almirante Ary Parreiras";-22,9043971;-43,1093638;17,7;21;"3303302"
"RJ";"Niterói";"Vital Brazil";"24230360";"Rua Graciliano Ramos";-22,9041394;-43,0980293;11;21;"3303302"
