"fromPlace";"qtd_ruas_15_min";"qtd_ruas_45_min"
"Terminal Salvador Allende";17;64
"Viva Viver";12;46
"Bandeirantes";8;19
"Minha Praia";7;18
"Boiúna";4;17
"Marechal Fontenelle";4;17
"Tapebuias";4;34
"Terminal Centro Olímpico";4;17
"Terminal Sulacap";4;18
"Magalhães Bastos";3;10
"Morro do Outeiro";3;17
"Olof Palme";3;15
"Riocentro";3;17
"Hospital Raphael de P. S.";2;19
"Terminal Deodoro";2;3
"CNEN";1;19
"Curicica";1;18
"Outeiro Santo";1;22
"Vila Militar";1;10
